id,title,description,link,image_link,availability,price,condition,brand,identifier_exists
5d3536a591785310,"Real Example of the Economics of Business,... — Audio Edition","The narrated edition, for the commute and the gym.",https://brightbrio.github.io/hasahya-motivated-store/p/real-example-of-the-economics-of-business-audio-edition.html,https://brightbrio.github.io/hasahya-motivated-store/assets/real-example-of-the-economics-of-business-audio-edition.png,in_stock,9.00 USD,new,Hasahya Motivated,no
b80f662e39b90a49,"Real Example of the Economics of Business,... Workbook",A printable worksheet that turns the method into something you actually do this week.,https://brightbrio.github.io/hasahya-motivated-store/p/real-example-of-the-economics-of-business-workbook.html,https://brightbrio.github.io/hasahya-motivated-store/assets/real-example-of-the-economics-of-business-workbook.png,in_stock,9.99 USD,new,Hasahya Motivated,no
d13c1b9cae340188,"The Real Example of the Economics of Business,... System Pack","The system as a ready-made file. Import it into Sheets, Excel or Notion and start filling it in.",https://brightbrio.github.io/hasahya-motivated-store/p/the-real-example-of-the-economics-of-business-system-pack.html,https://brightbrio.github.io/hasahya-motivated-store/assets/the-real-example-of-the-economics-of-business-system-pack.png,in_stock,24.00 USD,new,Hasahya Motivated,no
44156326727bf5e8,Business Consulting Session,"One session on one specific problem, with a written summary you can act on.",https://brightbrio.github.io/hasahya-motivated-store/p/business-consulting-session.html,https://brightbrio.github.io/hasahya-motivated-store/assets/business-consulting-session.png,in_stock,179.00 USD,new,Hasahya Motivated,no
4eaf066e34be29a5,"Real Example of the Economics of Business,...: The Complete Guide","The full method in one readable guide. Print it, or read it on anything. No fluff and no filler chapters.",https://brightbrio.github.io/hasahya-motivated-store/p/real-example-of-the-economics-of-business-the-complete-guide.html,https://brightbrio.github.io/hasahya-motivated-store/assets/real-example-of-the-economics-of-business-the-complete-guide.png,in_stock,14.00 USD,new,Hasahya Motivated,no
414053573c7d8607,Business Tee,"Printed and shipped on demand. No stock, no waiting on a batch.",https://brightbrio.github.io/hasahya-motivated-store/p/business-tee.html,https://brightbrio.github.io/hasahya-motivated-store/assets/business-tee.png,in_stock,19.00 USD,new,Hasahya Motivated,no
ef9efef96b088fcd,One Usable Idea About Education Systems — Audio Edition,"The narrated edition, for the commute and the gym.",https://brightbrio.github.io/hasahya-motivated-store/p/one-usable-idea-about-education-systems-audio-edition.html,https://brightbrio.github.io/hasahya-motivated-store/assets/one-usable-idea-about-education-systems-audio-edition.png,in_stock,9.00 USD,new,Hasahya Motivated,no
5eb4793c63be6821,One Usable Idea About Education Systems Workbook,A printable worksheet that turns the method into something you actually do this week.,https://brightbrio.github.io/hasahya-motivated-store/p/one-usable-idea-about-education-systems-workbook.html,https://brightbrio.github.io/hasahya-motivated-store/assets/one-usable-idea-about-education-systems-workbook.png,in_stock,9.99 USD,new,Hasahya Motivated,no
3b61a9a688796470,Education Print Set,"High-resolution printables at standard frame sizes. Download, print, frame.",https://brightbrio.github.io/hasahya-motivated-store/p/education-print-set.html,https://brightbrio.github.io/hasahya-motivated-store/assets/education-print-set.png,in_stock,8.99 USD,new,Hasahya Motivated,no
33e099f33182c8a4,Christian content Sticker Pack,"A small pack for the laptop, the notebook and the water bottle.",https://brightbrio.github.io/hasahya-motivated-store/p/christian-content-sticker-pack.html,https://brightbrio.github.io/hasahya-motivated-store/assets/christian-content-sticker-pack.png,in_stock,6.99 USD,new,Hasahya Motivated,no
ff54ac357688b897,Education Consulting Session,"One session on one specific problem, with a written summary you can act on.",https://brightbrio.github.io/hasahya-motivated-store/p/education-consulting-session.html,https://brightbrio.github.io/hasahya-motivated-store/assets/education-consulting-session.png,in_stock,179.00 USD,new,Hasahya Motivated,no
41a6b1819380d7a7,Biggest Myth About Christian Content: Back... Workbook,A printable worksheet that turns the method into something you actually do this week.,https://brightbrio.github.io/hasahya-motivated-store/p/biggest-myth-about-christian-content-back-workbook.html,https://brightbrio.github.io/hasahya-motivated-store/assets/biggest-myth-about-christian-content-back-workbook.png,in_stock,9.99 USD,new,Hasahya Motivated,no
5442d72d6f77f1c6,Christian content Print Set,"High-resolution printables at standard frame sizes. Download, print, frame.",https://brightbrio.github.io/hasahya-motivated-store/p/christian-content-print-set.html,https://brightbrio.github.io/hasahya-motivated-store/assets/christian-content-print-set.png,in_stock,8.99 USD,new,Hasahya Motivated,no
f42d5f5c3667a52d,Christian content Tee,"Printed and shipped on demand. No stock, no waiting on a batch.",https://brightbrio.github.io/hasahya-motivated-store/p/christian-content-tee.html,https://brightbrio.github.io/hasahya-motivated-store/assets/christian-content-tee.png,in_stock,19.00 USD,new,Hasahya Motivated,no
69aa899a0e9c74cf,The Business Circle,"Early access, the members-only monthly piece, and a direct line to me.",https://brightbrio.github.io/hasahya-motivated-store/p/the-business-circle.html,https://brightbrio.github.io/hasahya-motivated-store/assets/the-business-circle.png,in_stock,9.00 USD,new,Hasahya Motivated,no
5d317e7c7976a1e4,The Education Circle,"Early access, the members-only monthly piece, and a direct line to me.",https://brightbrio.github.io/hasahya-motivated-store/p/the-education-circle.html,https://brightbrio.github.io/hasahya-motivated-store/assets/the-education-circle.png,in_stock,9.00 USD,new,Hasahya Motivated,no
4d45ae7cddce0eab,The Christian content Circle,"Early access, the members-only monthly piece, and a direct line to me.",https://brightbrio.github.io/hasahya-motivated-store/p/the-christian-content-circle.html,https://brightbrio.github.io/hasahya-motivated-store/assets/the-christian-content-circle.png,in_stock,9.00 USD,new,Hasahya Motivated,no
